    643.72      240.85        0.73       37.19        0.05        0.04     1656.68
   1366.04      294.04        0.66       33.69        0.02        0.02     3515.63
   2427.36      350.78        0.71       36.30        0.01        0.01     6247.04
    235.90      509.88        1.55       27.44        0.19        0.19      607.10
   2022.97      608.23        0.77       31.07        0.01        0.01     5206.32
    223.44      767.28        0.89       14.52        0.07        0.06      575.04
    104.38      785.10        1.11        4.92      340.50      340.51      268.62
  -4127.36      858.49        1.99       33.18        1.41        1.41   -10622.17
    126.46      932.99        0.98       16.34        0.13        0.14      325.44
    599.25     1119.21        0.97       19.36        0.04        0.03     1542.23
    269.83     1237.09        1.11       22.10        0.10        0.07      694.44
    152.28     1376.61        0.91       12.45        0.09        0.07      391.91
   1642.02     1459.75        1.07       29.33        0.02        0.02     4225.91
     98.55     1508.05        1.20       13.74        0.18        0.15      253.63
     50.24     1660.10        1.15        7.00        0.18        0.15      129.30
    158.82     1728.33        1.28       12.80        0.11        0.09      408.74
    660.31     1763.36        1.14       19.83        0.04        0.03     1699.37
    116.96     1846.04        1.13       22.08        0.23        0.11      301.02
     26.35     2103.53        1.40        6.23        0.00        0.26       67.81
     47.61     2117.53        1.24        6.94        0.20        0.16      122.53
    215.14     2202.86        1.37       12.21        0.09        0.07      553.69
     45.15     2446.72        1.19       14.00        0.41        0.22      116.21
    499.96     2612.93        1.72       29.11        0.00        0.08     1286.68
